N,Time(ms.)
0,0.0011
10,0.0012
20,8.00E-04
30,9.00E-04
40,0.001
50,0.0011
60,0.001201
70,0.0013
80,0.001499
90,0.0016
100,0.0018
110,0.0019
120,0.002099
130,0.002199
140,0.003801
150,0.0025
160,0.0026
170,0.0028
180,0.002899
190,0.0031
200,0.0043
210,0.003401
220,0.003501
230,0.0037
240,0.0037
250,0.005
260,0.004101
270,0.0043
280,0.0043
290,0.0056
300,0.0047
310,0.004799
320,0.006
330,0.005099
340,0.005201
350,0.0065
360,0.005501
370,0.0056
380,0.007
390,0.006001
400,0.006901
410,0.006199
420,0.0064
430,0.0075
440,0.006599
450,0.0075
460,0.007
470,0.0081
480,0.0072
490,0.0074
