N,Time(ms.)
0, 0.0082
10, 0.0228
20, 0.3022
30, 1.222299
40, 1.1924
50, 2.3801
60, 5.9381
70, 0.913299
80, 1.305299
90, 1.536099
100, 2.044999
110, 2.565299
120, 3.398099
130, 4.4001
140, 5.584
150, 6.741501
160, 8.222999
170, 10.005301
180, 12.067601
190, 14.3894
200, 16.903199
210, 19.1414
220, 22.5853
230, 28.7211
240, 31.822
250, 40.8425
260, 41.680001
270, 46.3304
280, 52.3844
290, 58.7451
300, 66.503999
310, 73.2787
320, 82.1677
330, 93.9381
340, 100.1175
350, 110.197399
360, 116.2326
370, 126.141
380, 137.5896
390, 149.9764
400, 164.1992
410, 179.455299
420, 197.661001
430, 212.6859
440, 230.2646
450, 247.9273
460, 270.5712
470, 291.138501
480, 310.2681
490, 330.551401
