N,Time(ms.)
0, 0.0064
10, 0.0177
20, 0.1595
30, 0.5546
40, 0.8361
50, 0.320201
60, 0.5156
70, 0.8005
80, 0.3325
90, 0.122499
100, 0.127501
110, 0.0964
120, 0.0991
130, 0.115199
140, 0.1222
150, 0.142801
160, 0.1561
170, 0.180399
180, 0.2035
190, 0.1769
200, 0.1965
210, 0.231101
220, 0.2668
230, 0.3492
240, 0.370101
250, 0.5574
260, 0.4683
270, 0.4927
280, 0.545899
290, 0.8102
300, 0.8961
310, 0.8555
320, 0.803699
330, 0.864101
340, 0.9485
350, 1.029399
360, 1.121301
370, 1.217301
380, 1.311901
390, 1.4222
400, 1.5334
410, 1.6406
420, 1.7632
430, 1.889501
440, 2.0439
450, 2.169399
460, 2.375499
470, 2.483
480, 2.6555
490, 2.838399
