N,Time(ms.)
0,0.0012
10,0.0016
20,0.0037
30,0.0074
40,0.0154
50,0.0204
60,0.029101
70,0.0387
80,0.0506
90,0.063101
100,0.0775
110,0.0931
120,0.1106
130,0.1291
140,0.1493
150,0.180799
160,0.1609
170,0.048799
180,0.0446
190,0.0536
200,0.0484
210,0.0517
220,0.0568
230,0.0617
240,0.067101
250,0.0723
260,0.078099
270,0.084399
280,0.09
290,0.096301
300,0.1033
310,0.1105
320,0.1173
330,0.1253
340,0.1327
350,0.1398
360,0.1477
370,0.096201
380,0.0633
390,0.0609
400,0.060099
410,0.0633
420,0.0613
430,0.061001
440,0.0607
450,0.0614
460,0.0614
470,0.061901
480,0.0619
490,0.062999
