N,Time(ms.)
0, 0.006601
10, 0.002299
20, 0.0067
30, 0.0156
40, 0.026
50, 0.0392
60, 0.056201
70, 0.0752
80, 0.099101
90, 0.126099
100, 0.1542
110, 0.267699
120, 0.340099
130, 0.2786
140, 0.072001
150, 0.0694
160, 0.0671
170, 0.067401
180, 0.0791
190, 0.084701
200, 0.0931
210, 0.1016
220, 0.1113
230, 0.121199
240, 0.131399
250, 0.143199
260, 0.1542
270, 0.166001
280, 0.3013
290, 0.1598
300, 0.066499
310, 0.0593
320, 0.0713
330, 0.086199
340, 0.092099
350, 0.066801
360, 0.071399
370, 0.0633
380, 0.0656
390, 0.0639
400, 0.0665
410, 0.0647
420, 0.0621
430, 0.0665
440, 0.064901
450, 0.0629
460, 0.067401
470, 0.067401
480, 0.0711
490, 0.0675
