Size,Time(microsec.)
1748559800, 13.8
497818672, 4.1
10141504, 3.1
762123950, 3.0
143511345, 3.0
1164641674, 5.8
1070558312, 3.0
988999172, 2.9
827522002, 2.9
1339691562, 2.9
531365004, 2.9
1346726521, 2.9
840321867, 3.0
381251289, 2.9
113240988, 3.2
171017988, 3.2
1106392936, 3.0
209686008, 2.9
1899646122, 3.1
2630314722, 3.0
